date,open,high,low,close,volume,Name
2017-08-28,45.23,45.3718,44.78,44.95,6969256,AAL
2017-02-15,47.59,48.05,46.93,47.54,8394814,AAL
2016-11-04,39.27,40.22,39.24,39.74,6717513,AAL
2017-04-13,43.95,44.02,43.335,43.35,5504930,AAL
2017-12-06,49.39,49.81,49.19,49.61,2835542,AAL
2015-07-10,40.51,41.64,40.5,41.21,16451679,AAL
2017-05-08,44.6,45.045,44.515,44.94,6190660,AAL
2017-03-16,42.18,42.35,41.45,42.13,7058267,AAL
2014-12-03,47.74,48.47,46.925,48.24,8917697,AAL
2015-06-26,42.44,42.58,41.33,41.44,9819882,AAL
2014-04-15,33.52,34.33,31.86,33.72,15981721,AAL
2013-09-11,18.03,18.04,17.31,17.72,6391100,AAL
2017-07-28,49.02,50.67,48.73,50.49,9153445,AAL
2016-09-29,35.65,36.6,35.6,35.82,6183332,AAL
2014-01-13,29.18,29.53,28.58,28.65,10591701,AAL
2015-05-04,49.41,50.08,48.8,48.95,5589831,AAL
2016-01-27,40.15,40.87,39.48,39.69,10185956,AAL
2014-08-01,38.75,39.53,38.43,39.43,8978315,AAL
2017-03-03,45.85,47.26,45.77,46.82,7259147,AAL
2014-03-26,38.15,38.26,36.64,36.7,7322443,AAL
2017-07-18,53.83,53.84,53.02,53.15,4101431,AAL
2016-03-15,42.3,42.4866,41.98,42.11,4445364,AAL
2015-01-13,50.12,51.43,49.46,50.4,12259271,AAL
2016-05-23,32.03,32.29,31.7,31.73,6498413,AAL
2016-09-19,35.66,36.11,35.35,35.44,5422349,AAL
2016-08-01,35.54,35.75,35.1,35.6,7058968,AAL
2015-05-28,42.25,42.5,41.77,41.97,9238835,AAL
2014-06-26,43.96,44.6,43.5,44.55,11175082,AAL
2015-02-06,48.84,49.47,47.89,48.145,8650092,AAL
2017-03-10,43.46,43.95,42.97,43.9,6842316,AAL
2015-02-17,149.91,151.38,148.86,150.23,1564383,AAP
2013-12-16,110.01,110.4,108.88,109.27,774387,AAP
2017-09-06,96.92,97.7,95.02,95.61,1893184,AAP
2016-04-25,157.59,158.31,155.63,157.39,618651,AAP
2016-06-24,151.0,155.97,150.915,154.52,1750826,AAP
2015-06-05,156.27,157.86,156.03,157.39,672610,AAP
2015-09-09,176.1,178.4,174.35,174.92,1024639,AAP
2016-01-05,152.35,153.79,149.89,151.2,1127677,AAP
2015-04-30,144.43,145.21,142.9,143.0,1269152,AAP
2016-06-28,154.87,157.16,154.28,156.98,1533726,AAP
2016-03-18,158.27,158.5,156.66,157.47,854195,AAP
2017-03-29,148.38,150.07,147.61,149.67,739014,AAP
2016-05-13,149.57,150.015,145.19,145.56,990130,AAP
2015-02-05,157.74,160.66,156.79,160.16,1294215,AAP
2013-10-16,97.26,99.3,95.15,96.16,7301816,AAP
2017-10-13,86.76,86.8726,85.4,85.51,1969473,AAP
2014-07-28,125.24,125.27,123.8,124.49,495457,AAP
2014-06-12,125.8,125.914,123.52,124.28,541918,AAP
2013-03-25,79.83,80.94,79.33,80.53,1150900,AAP
2014-09-11,135.01,135.56,133.58,134.42,554758,AAP
2013-03-27,81.02,81.7,80.9601,81.64,551193,AAP
2015-11-19,164.19,165.27,162.22,162.37,684246,AAP
2016-08-04,168.38,170.38,168.31,170.18,1102690,AAP
2016-07-05,162.46,163.64,160.32,161.19,754153,AAP
2014-05-02,121.26,123.03,121.15,121.69,449305,AAP
2014-08-19,133.41,134.9997,133.34,134.02,796679,AAP
2015-04-10,148.67,150.53,147.57,150.2,587907,AAP
2017-07-06,104.48,105.8299,102.25,103.16,2718737,AAP
2017-10-04,95.04,98.41,94.48,94.93,2780255,AAP
